ccp,Sillago_sihama,Gerres_oyena,Gerres_longirostris,Teraponidae,Teraponidae,Crenidens_crenidens,Caranginae,Rastrellinger_kanagurta,Amblygaster_sirm,Portunus_pelagicus,scylla_serrata_,Penaeus_monodon,Loliginidae,Sepiidae,Penaeidae,Pinna_muricata,Margaritidae,Tapes_literatus,Siliqua_polita,Solenidae,Garfarium_pectinatum,Serratina_capsoides,Callista_florida,Volema_pyrum,Potamididae
chamane,0.18888888888888888,0.1333333333333333,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.18888888888888886,0.0,0.0,0.0,0.0,0.28888888888888886,0.09583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilha,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
josina_machel,0.0,0.0,0.17142857142857143,0.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.30476190476190473,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kuguana,0.22592592592592592,0.0,0.028571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.040740740740740716,0.0111111111111111,0.23333333333333328,0.0,0.15555555555555556,0.3074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madava,0.008333333333333325,0.0,0.0,0.004166666666666662,0.004166666666666662,0.0,0.0,0.0,0.0,0.09629629629629627,0.1909090909090909,0.17666666666666664,0.0,0.0,0.5121212121212121,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0125,0.0
marrambone,0.15666666666666665,0.2133333333333333,0.18,0.0,0.0,0.05333333333333332,0.0,0.0,0.0,0.1515151515151515,0.0,0.0,0.0,0.0,0.18787878787878787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.06296296296296294
morrumbene,0.12857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.10476190476190474,0.0,0.14583333333333331,0.05714285714285713,0.0,0.047619047619047616,0.0,0.5466666666666666,0.0,0.0,0.0,0.05925925925925925,0.05185185185185184,0.0,0.0,0.0,0.0,0.0
mucucune,0.1708333333333333,0.03749999999999999,0.22083333333333333,0.0,0.0,0.049999999999999975,0.0,0.0,0.0,0.1958333333333333,0.0,0.0,0.0,0.0,0.09166666666666666,0.0,0.0,0.11666666666666664,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.0
nguja,0.18333333333333335,0.0,0.0,0.08333333333333333,0.08333333333333333,0.025,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhamaxaxa,0.06666666666666667,0.0722222222222222,0.09444444444444444,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.38095238095238093,0.07222222222222222,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.061111111111111095,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
nhampossa,0.05,0.025,0.09166666666666665,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.2333333333333333,0.0,0.0,0.0,0.0,0.27499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05833333333333333,0.0
nhamua,0.11904761904761904,0.07142857142857141,0.07142857142857141,0.0,0.0,0.028571428571428574,0.019047619047619042,0.0,0.0,0.05833333333333333,0.0,0.0,0.0,0.0,0.19166666666666665,0.19166666666666665,0.22499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sahane,0.19047619047619047,0.0857142857142857,0.028571428571428574,0.0,0.0,0.019047619047619042,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
