ccp,Sillago_sihama,Gerres_oyena,Gerres_longirostris,Teraponidae,Teraponidae,Crenidens_crenidens,Caranginae,Rastrellinger_kanagurta,Amblygaster_sirm,Portunus_pelagicus,scylla_serrata_,Penaeus_monodon,Loliginidae,Sepiidae,Penaeidae,Pinna_muricata,Margaritidae,Tapes_literatus,Siliqua_polita,Solenidae,Garfarium_pectinatum,Serratina_capsoides,Callista_florida,Volema_pyrum,Potamididae,nonfish_activities
chamane,0.1057772193531305,0.09010191428176788,0.09655495318885174,0.0,0.0,0.0,0.0,0.0,0.0,0.15165037013825666,0.0,0.0,0.0,0.0,0.33769249963466663,0.02056962025316455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16547497446373852
ilha,0.20760598230708593,0.0,0.11106354558990976,0.0,0.0,0.0,0.0,0.0,0.0,0.1858139728203644,0.0,0.0,0.0,0.0,0.29522564788126493,0.09071490571225399,0.10957594568912093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
josina_machel,0.0,0.041666666666666664,0.10247747747747749,0.0,0.0,0.10247747747747749,0.0,0.0,0.0,0.40767869561489584,0.0,0.0,0.0,0.0,0.1898572435671484,0.017008639308855288,0.1079913606911447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03084243919633415
kuguana,0.025109508106755656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10568433644356201,0.010742972377661222,0.11959623352619309,0.0,0.13255044583958916,0.18235236756595724,0.0,0.0,0.0,0.0,0.03451311850677935,0.0,0.0,0.0,0.1404076421905265,0.0,0.026308121484537393
madava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04541883608484786,0.03587536631374686,0.20594898539047493,0.0,0.0,0.49666956952538954,0.0,0.0,0.0,0.0,0.1119949943322439,0.0,0.0,0.0,0.00027252411838447145,0.0,0.021253471102914628
marrambone,0.04248608941249933,0.08880681686537867,0.146013523686331,0.0,0.0,0.035650614303531544,0.0,0.0,0.0,0.09757437964089447,0.0,0.0,0.0,0.0,0.42496501297097544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016167495250798223,0.0,0.16288681359530965
morrumbene,0.07366817139334272,0.0,0.0,0.0,0.0,0.0,0.0,0.21681414976676305,0.0,0.09718453697377938,0.0,0.0,0.009065133106549925,0.0,0.46551401098943923,0.0,0.0,0.0,0.0492985959217469,0.07630733472665628,0.0,0.0,0.0,0.0,0.0,0.0
mucucune,0.0497363790860014,0.15711121780095855,0.05248699490161951,0.0,0.0,0.025571810602485437,0.0,0.0,0.0,0.36607265999873856,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08363632222558107,0.0,0.015384615384615385
nguja,0.16847826086956522,0.0,0.0,0.033967391304347824,0.033967391304347824,0.13068297525710212,0.0,0.0,0.0,0.23724430038823785,0.0,0.0,0.0,0.0,0.22596153846153846,0.0,0.0,0.0263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14338235294117646
nhamaxaxa,0.1989350047134959,0.1341308058804046,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.1135566751836564,0.0,0.0,0.0,0.0,0.15944982721249423,0.0,0.0,0.002653145451329514,0.0,0.0,0.0,0.0,0.1446259064913625,0.0,0.0,0.028089887640449437
nhamua,0.10623086792960455,0.1383601384364821,0.08069564875439943,0.0,0.0,0.0,0.014801054107853762,0.0,0.0,0.10191058536678288,0.0,0.0,0.0,0.0,0.25,0.057624084256513636,0.08008713317019645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15755166480731933
sahane,0.1513157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.09868421052631579
